name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_574.0.mata;0.01; 0.010528; 0.00182; 0.00062; 5.1e-05; 3.9e-05; false; 0.014455
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_575.0.mata;0.01; 0.016943; 0.002035; 0.001186; 8.4e-05; 4.5e-05; false; 0.021864
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_627.0.mata;0.03; 0.026858; 0.005214; 0.001804; 0.000134; 7.2e-05; false; 0.037373
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_637.0.mata;0.04; 0.037907; 0.006538; 0.001751; 0.000117; 8e-05; false; 0.051085
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_670.0.mata;0.01; 0.011229; 0.002621; 0.000516; 3e-05; 2.7e-05; false; 0.015937
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_7.0.mata;0.01; 0.010248; 0.001935; 0.000686; 6.1e-05; 3e-05; false; 0.014367
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_703.0.mata;0.05; 0.047581; 0.007825; 0.001244; 0.000111; 0.000162; false; 0.062517
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_707.0.mata;0.1; 0.087162; 0.014582; 0.002391; 0.00017; 0.000145; false; 0.114365
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_71.0.mata;0.03; 0.0277; 0.004759; 0.001679; 0.000122; 6.6e-05; false; 0.037606
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_713.0.mata;0.1; 0.086452; 0.013231; 0.002496; 0.000164; 0.000141; false; 0.112127
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_720.0.mata;0.1; 0.086961; 0.012412; 0.002426; 0.000171; 0.000163; false; 0.111955
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_725.0.mata;0.05; 0.044569; 0.0077; 0.001527; 0.000154; 8.9e-05; false; 0.059385
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_728.0.mata;0.1; 0.090028; 0.014622; 0.002524; 0.000191; 0.000177; false; 0.117605
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_73.0.mata;0.01; 0.014768; 0.003156; 0.000918; 9e-05; 3.6e-05; false; 0.021031
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_744.0.mata;0.04; 0.037874; 0.006858; 0.001234; 0.000112; 8.5e-05; false; 0.050695
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_746.0.mata;0.09; 0.073837; 0.010412; 0.002222; 0.0001; 0.000124; false; 0.094869
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_751.0.mata;0.09; 0.075361; 0.010728; 0.002495; 0.000167; 0.00013; false; 0.096954
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_753.0.mata;0.04; 0.038224; 0.007444; 0.001234; 0.000127; 8.3e-05; false; 0.051925
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_755.0.mata;0.09; 0.071267; 0.011665; 0.002489; 0.000197; 0.000143; false; 0.093897
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_762.0.mata;0.07; 0.067585; 0.009522; 0.002352; 0.000158; 0.000118; false; 0.086936
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_763.0.mata;0.04; 0.037773; 0.006769; 0.001286; 0.000112; 9.9e-05; false; 0.050624
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_766.0.mata;0.08; 0.069129; 0.009521; 0.002456; 0.000167; 0.00013; false; 0.088877
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_775.0.mata;0.04; 0.035788; 0.005722; 0.001195; 9.7e-05; 8.5e-05; false; 0.047024
