name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_7.0.mata;0.03; 0.025751; 0.011151; 0.001119; 0.000388; 3.9e-05; 1.6e-05; false; 0.040089
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_703.0.mata;0.22; 0.193921; 0.053889; 0.003675; 0.000693; 7.1e-05; 3.9e-05; false; 0.255831
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_707.0.mata;0.28; 0.253371; 0.052558; 0.003674; 0.000671; 7.7e-05; 5.3e-05; false; 0.314082
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_71.0.mata;0.04; 0.041047; 0.011487; 0.000896; 0.000268; 3.4e-05; 1.4e-05; false; 0.0548
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_713.0.mata;0.25; 0.236345; 0.034434; 0.002334; 0.000388; 4.9e-05; 2.5e-05; false; 0.276127
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_720.0.mata;0.17; 0.135562; 0.043985; 0.00392; 0.000784; 9e-05; 4.7e-05; false; 0.188801
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_725.0.mata;0.27; 0.23724; 0.053084; 0.003604; 0.000684; 6.9e-05; 3.6e-05; false; 0.298237
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_728.0.mata;0.27; 0.2566; 0.034414; 0.00256; 0.000408; 5e-05; 2.9e-05; false; 0.296555
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_73.0.mata;0.04; 0.042768; 0.012684; 0.00098; 0.000291; 3.8e-05; 1.6e-05; false; 0.05804
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_744.0.mata;0.24; 0.217131; 0.046433; 0.003284; 0.000765; 7.7e-05; 1.9e-05; false; 0.271757
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_746.0.mata;0.13; 0.112681; 0.032883; 0.002027; 0.000392; 5.4e-05; 1.2e-05; false; 0.150608
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_751.0.mata;0.24; 0.210198; 0.046411; 0.003492; 0.000735; 7.5e-05; 1.9e-05; false; 0.264664
