name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-rhs.mata;0.1; 0.078382; 0.03222; 3e-06; 4e-06; 2e-06; true; 0.116071;0.22; 0.121203; 0.031398; 0.048913; 0.041675; 3e-06; true; 0.246829
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.33; 0.145373; 0.044334; 0.119374; 0.059862; 3e-06; true; 0.375576
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.44; 0.181694; 0.053933; 0.160397; 0.093077; 3e-06; true; 0.496499
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.36; 0.129648; 0.040727; 0.155808; 0.083065; 2e-06; true; 0.415271
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.64; 0.234034; 0.054326; 0.276374; 0.145016; 3e-06; true; 0.72007
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.02; 0.015225; 0.007142; 0.001169; 0.000807; 4e-06; true; 0.025847
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.66; 0.256558; 0.07268; 0.289337; 0.121911; 3e-06; true; 0.754219
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.9; 0.262006; 0.055011; 0.494004; 0.218173; 2e-06; true; 1.04179
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.94; 0.206599; 0.064057; 0.54341; 0.241588; 3e-06; true; 1.06581
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.08; 0.291241; 0.0884; 0.612514; 0.199656; 2e-06; true; 1.20529
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.33; 0.24476; 0.080484; 0.841651; 0.321659; 5e-06; true; 1.508
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.71; 0.369943; 0.106211; 1.02038; 0.417815; 3e-06; true; 1.92581
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-800-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.47; 0.246663; 0.079742; 0.816517; 0.482744; 3e-06; true; 1.64523
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-850-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.56; 0.347922; 0.088735; 0.995927; 0.350442; 2e-06; true; 1.79634
